PROTEIN GROUP;GENE;DISTANZA DALL'ER;Q-VALUE DALL'ER;DISTANZA DAL REPLICOMA ;Q-VALUE REPLICOMA;RISULTATO;PREDICTED LOCALIZATION IN INF (analisi con proteine virali);DISTANZA DELLE DISTANCE;DISTANZA DELLE DISTANZE 0-1;TERZILI;top 25%
H0YKT4;SEC11A;0,5312411;0,001054591;0,799174;0,007960674;Vicino all'ER;ER;0,2679329;0,769835045;;
G3XAN4;TRAM1;1,012804;0,07549568;1,280588;0,1641096;Vicino all'ER;Mitochondria;0,267784;0,769379733;;
P55809;OXCT1;0,7729217;0,01143788;1,040658;0,04173887;Vicino all'ER;Mitochondria;0,2677363;0,769233874;;
Q9Y5B8;NME7;1,936486;1;2,204199;1;Vicino all'ER;Cytoplasm;0,267713;0,769162626;;
J3KN75;TBC1D8B;1,725662;1;1,993363;1;Vicino all'ER;Cytoplasm;0,267701;0,769125932;;
Q96FN4;CPNE2;1,702791;1;1,97046;1;Vicino all'ER;Cytoplasm;0,267669;0,769028082;;
Q6QNY1;BLOC1S2;1,725068;1;1,992657;1;Vicino all'ER;Cytoplasm;0,267589;0,768783455;;
A5D8V6;VPS37C;1,824345;1;2,091795;1;Vicino all'ER;Cytoplasm;0,26745;0,768358415;;
Q8TD30;GPT2;1,075323;0,1148922;1,342771;0,2257881;Vicino all'ER;Mitochondria;0,267448;0,7683523;;
P15153;RAC2;1,617592;0,9934515;1,884919;1;Vicino all'ER;Cytoplasm;0,267327;0,767982301;;
P49458;SRP9;1,363764;0,4951179;1,630991;0,7006338;Vicino all'ER;Mitochondria;0,267227;0,767676517;;
B0QY16;KIAA0930;1,79574;1;2,062961;1;Vicino all'ER;Cytoplasm;0,267221;0,76765817;;
Q7Z4H8;POGLUT3;0,2802086;0;0,5473756;0,000690141;Vicino all'ER;ER;0,267167;0,767493047;;
P61326;MAGOH;1,507087;0,7851067;1,774083;0,9501606;Vicino all'ER;Nucleus;0,266996;0,766970157;;
O14908;GIPC1;1,37896;0,5237492;1,645915;0,7275693;Vicino all'ER;Cytoplasm;0,266955;0,766844786;;
Q9NQT8;KIF13B;1,621446;0,9983021;1,888343;1;Vicino all'ER;Cytoplasm;0,266897;0,766667431;;
A6NG10;WBP2;1,651386;1;1,918159;1;Vicino all'ER;Cytoplasm;0,266773;0,766288259;;
Q9NRY5;FAM114A2;1,619212;0,9952871;1,885981;1;Vicino all'ER;Cytoplasm;0,266769;0,766276028;;
Q5TBR1;NANS;1,835609;1;2,102272;1;Vicino all'ER;endosome-vesicle;0,266663;0,765951897;;
Q8NBX0;SCCPDH;0,7788941;0,01188511;1,04554;0,04283823;Vicino all'ER;Mitochondria;0,2666459;0,765899608;;
Q9NVD7;PARVA;1,871647;1;2,138253;1;Vicino all'ER;Cytoplasm;0,266606;0,7657776;;
P29084;GTF2E2;1,424177;0,6168429;1,690718;0,8096519;Vicino all'ER;Mitochondria;0,266541;0,765578841;;
A0A1B0GTU7;POLG;1,155307;0,1805312;1,421813;0,3265844;Vicino all'ER;Mitochondria;0,266506;0,765471817;;
B3KR61;NDUFAF5;1,045782;0,09457294;1,312272;0,1931558;Vicino all'ER;Mitochondria;0,26649;0,765422891;;
Q8WUA7;TBC1D22A;1,833541;1;2,100024;1;Vicino all'ER;Cytoplasm;0,266483;0,765401486;;
O60749;SNX2;1,875703;1;2,142001;1;Vicino all'ER;Cytoplasm;0,266298;0,764835786;;
P63267;ACTG2;1,656276;1;1,92255;1;Vicino all'ER;Cytoplasm;0,266274;0,764762398;Q2;x
Q96GS6;ABHD17A;1,299608;0,375793;1,565875;0,5729451;Vicino all'ER;Golgi apparatus;0,266267;0,764740994;Q3;x
Q8N5C6;SRBD1;1,165365;0,1897669;1,431525;0,3404893;Vicino all'ER;ER;0,26616;0,764413805;;
Q8WUA2;PPIL4;1,731698;1;1,997856;1;Vicino all'ER;Cytoplasm;0,266158;0,764407689;;
A0A3B3ISV4;VKORC1L1;0,5221096;0,000920716;0,7882208;0,007378985;Vicino all'ER;Mitochondria;0,2661112;0,764264582;;
H3BRL3;UBFD1;1,678537;1;1,944645;1;Vicino all'ER;Cytoplasm;0,266108;0,764254797;;
Q9BVV7;TIMM21;0,9913502;0,06466684;1,257442;0,144684;Vicino all'ER;Mitochondria;0,2660918;0,76420526;;
Q9NUJ3;TCP11L1;1,922673;1;2,188756;1;Vicino all'ER;Cytoplasm;0,266083;0,764178351;;
O95563;MPC2;0,9529735;0,04905383;1,218941;0,1158913;Vicino all'ER;Mitochondria;0,2659675;0,763825171;;
Q8WZA0;LZIC;1,800126;1;2,066083;1;Vicino all'ER;Cytoplasm;0,265957;0,763793064;;
Q9Y2I1;NISCH;1,730906;1;1,99685;1;Vicino all'ER;Cytoplasm;0,265944;0,763753312;;
G5E9V4;HPS3;1,856154;1;2,122052;1;Vicino all'ER;Cytoplasm;0,265898;0,763612651;;
Q9H4L7;SMARCAD1;1,491555;0,7516057;1,757407;0,9222392;Vicino all'ER;Nucleus;0,265852;0,763471991;;
A0A1X7SBY3;STIM2;0,623302;0,002844408;0,8890146;0,01454951;Vicino all'ER;ER;0,2657126;0,763045728;;
A0A8I5KRP2;KANK1;1,614459;0,9882275;1,88017;1;Vicino all'ER;Cytoplasm;0,265711;0,763040836;;
Q86XL3;ANKLE2;0,2442353;0;0,5097247;0,000364238;Vicino all'ER;ER;0,2654894;0,762363219;;
Q8WWV3;RTN4IP1;1,1012;0,1336049;1,366652;0,2533308;Vicino all'ER;Mitochondria;0,265452;0,762248856;;
P41208;CETN2;1,316899;0,407123;1,582306;0,6073143;Vicino all'ER;Nucleus;0,265407;0,762111253;;
F8VTQ9;TMTC1;0,7827157;0,01215063;1,047872;0,04330702;Vicino all'ER;ER;0,2651563;0,761344653;;
F8VP71;LETMD1;1,066181;0,1090033;1,331268;0,2120458;Vicino all'ER;Mitochondria;0,265087;0,761132745;;
Q96GD0;PDXP;1,838621;1;2,103581;1;Vicino all'ER;Cytoplasm;0,26496;0,7607444;;
O60493;SNX3;1,756837;1;2,021725;1;Vicino all'ER;Cytoplasm;0,264888;0,760524236;;
P15538;CYP11B1;1,873496;1;2,138288;1;Vicino all'ER;Cytoplasm;0,264792;0,760230683;;
Q8TCF1;ZFAND1;1,800487;1;2,065233;1;Vicino all'ER;Cytoplasm;0,264746;0,760090023;;
Q96A72;MAGOHB;1,450635;0,6728711;1,715356;0,8523199;Vicino all'ER;Nucleus;0,264721;0,760013577;;
Q96H79;ZC3HAV1L;1,821405;1;2,08605;1;Vicino all'ER;Cytoplasm;0,264645;0,759781181;;
P37235;HPCAL1;1,729193;1;1,993669;1;Vicino all'ER;Cytoplasm;0,264476;0,759264407;;
Q5EBL8;PDZD11;1,647876;1;1,91234;1;Vicino all'ER;Cytoplasm;0,264464;0,759227713;;
O60610;DIAPH1;1,817486;1;2,081916;1;Vicino all'ER;Cytoplasm;0,26443;0,759123746;;
Q99816;TSG101;1,688425;1;1,952838;1;Vicino all'ER;Cytoplasm;0,264413;0,759071763;;
Q9Y4P8;WIPI2;1,859161;1;2,123561;1;Vicino all'ER;Cytoplasm;0,2644;0,759032011;;
L0R8F8;MIEF1;1,050662;0,0980718;1,315039;0,1966074;Vicino all'ER;Mitochondria;0,264377;0,758961681;;
F8VNV8;CACNB3;1,870395;1;2,134756;1;Vicino all'ER;protein-complex;0,264361;0,758912755;;
Q53QV2;LBH;1,856163;1;2,120462;1;Vicino all'ER;Cytoplasm;0,264299;0,758723169;;
P11182;DBT;0,898122;0,03174433;1,162402;0,08492871;Vicino all'ER;Mitochondria;0,26428;0,75866507;;
Q99856;ARID3A;1,0544;0,1004806;1,318577;0,1992431;Vicino all'ER;Mitochondria;0,264177;0,758350113;;
Q9NR31;SAR1A;1,744484;1;2,008588;1;Vicino all'ER;Cytoplasm;0,264104;0,758126891;;
Q15796;SMAD2;1,751323;1;2,015426;1;Vicino all'ER;Cytoplasm;0,264103;0,758123833;;
Q4VC31;MIX23;1,091949;0,1276058;1,355964;0,2398414;Vicino all'ER;Mitochondria;0,264015;0,757854744;;
Q9NRL3;STRN4;1,65108;1;1,914988;1;Vicino all'ER;Cytoplasm;0,263908;0,757527555;;
Q7L8L6;FASTKD5;1,089395;0,1252731;1,353264;0,2378355;Vicino all'ER;Mitochondria;0,263869;0,757408299;;
Q5T1C6;THEM4;1,116951;0,1458685;1,380817;0,2697932;Vicino all'ER;Mitochondria;0,263866;0,757399126;;
E9PF17;VCAN;1,207535;0,2387945;1,471398;0,4030374;Vicino all'ER;Mitochondria;0,263863;0,757389952;;
A0A8Q3WKY2;ADA;1,616155;0,989858;1,879989;1;Vicino all'ER;endosome-vesicle;0,263834;0,757301275;Q2;x
O75147;OBSL1;1,894131;1;2,157855;1;Vicino all'ER;Cytoplasm;0,263724;0,756964913;;
P10909;CLU;1,323491;0,4185595;1,587144;0,6154348;Vicino all'ER;Mitochondria;0,263653;0,756747806;;
K7ENP1;TRMT11;1,631305;1;1,894958;1;Vicino all'ER;Cytoplasm;0,263653;0,756747806;;
Q86VN1;VPS36;1,932366;1;2,195991;1;Vicino all'ER;Cytoplasm;0,263625;0,756662187;;
Q969H8;MYDGF;1,289396;0,3589607;1,553003;0,5491271;Vicino all'ER;ER;0,263607;0,756607146;;
A0A0C4DFN3;MGLL;1,769043;1;2,032587;1;Vicino all'ER;Cytoplasm;0,263544;0,756414502;;
O15482;TEX28;1,660526;1;1,924025;1;Vicino all'ER;endosome-vesicle;0,263499;0,756276899;;
O00221;NFKBIE;1,768174;1;2,031626;1;Vicino all'ER;Cytoplasm;0,263452;0,756133181;;
P54619;PRKAG1;1,833744;1;2,097162;1;Vicino all'ER;Cytoplasm;0,263418;0,756029215;;
Q96TA2;YME1L1;0,8531101;0,02226323;1,116512;0,06569467;Vicino all'ER;Mitochondria;0,2634019;0,755979983;;
Q7LGC8;CHST3;1,215531;0,2497779;1,47889;0,414988;Vicino all'ER;Golgi apparatus;0,263359;0,755848802;;
Q99570;PIK3R4;1,711836;1;1,975156;1;Vicino all'ER;Cytoplasm;0,26332;0,755729547;;
P49593;PPM1F;1,771529;1;2,034771;1;Vicino all'ER;Cytoplasm;0,263242;0,755491035;;
O15085;ARHGEF11;1,739511;1;2,002705;1;Vicino all'ER;Cytoplasm;0,263194;0,755344259;;
Q92828;CORO2A;1,75855;1;2,021687;1;Vicino all'ER;protein-complex;0,263137;0,755169962;;
Q969Z3;MTARC2;0,9478632;0,0470745;1,210951;0,1109832;Vicino all'ER;Mitochondria;0,2630878;0,755019517;;
H9KV50;SELENON;0,8476961;0,02124031;1,110732;0,0636242;Vicino all'ER;Mitochondria;0,2630359;0,754860815;;
Q96T51;RUFY1;1,773152;1;2,036158;1;Vicino all'ER;Cytoplasm;0,263006;0,754769386;;
K7EMC7;CYGB;1,83471;1;2,09767;1;Vicino all'ER;Cytoplasm;0,26296;0,754628725;;
A0A804HKD7;RABGAP1L;1,946376;1;2,209284;1;Vicino all'ER;Cytoplasm;0,262908;0,754469717;;
A0A0D9SFB1;DNM1;1,760633;1;2,023301;1;Vicino all'ER;Cytoplasm;0,262668;0,753735836;;
Q14693;LPIN1;1,96887;1;2,23152;1;Vicino all'ER;Cytoplasm;0,26265;0,753680795;;
O15075;DCLK1;1,895563;1;2,158192;1;Vicino all'ER;Cytoplasm;0,262629;0,753616581;;
P61586;RHOA;1,655374;1;1,917961;1;Vicino all'ER;Cytoplasm;0,262587;0,753488152;;
C9J9P8;UBE2F;1,750346;1;2,012929;1;Vicino all'ER;Cytoplasm;0,262583;0,75347592;;
Q9Y399;MRPS2;0,9856719;0,06250134;1,248188;0,1372808;Vicino all'ER;Mitochondria;0,2625161;0,753271351;;
O60220;TIMM8A;1,144914;0,1708997;1,40742;0,306297;Vicino all'ER;Mitochondria;0,262506;0,753240467;;
P30048;PRDX3;0,517163;0,000816062;0,779617;0,006831923;Vicino all'ER;Mitochondria;0,262454;0,753081459;;
G3V4K3;VIPAS39;1,825558;1;2,088011;1;Vicino all'ER;Cytoplasm;0,262453;0,753078401;;
P46736;BRCC3;1,91438;1;2,17683;1;Vicino all'ER;Cytoplasm;0,26245;0,753069228;;
P20338;RAB4A;1,557595;0,8789257;1,82001;1;Vicino all'ER;Cytoplasm;0,262415;0,752962204;;
Q7LBC6;KDM3B;1,518924;0,8054444;1,781309;0,9649087;Vicino all'ER;Cytoplasm;0,262385;0,752870468;;
H0YA52;PCBD2;1,460682;0,6936933;1,722978;0,8635921;Vicino all'ER;Nucleus;0,262296;0,752598321;;
Q9NWU1;OXSM;1,158687;0,1833387;1,420894;0,326084;Vicino all'ER;Mitochondria;0,262207;0,752326173;;
Q9NRY4;ARHGAP35;1,796878;1;2,059081;1;Vicino all'ER;Cytoplasm;0,262203;0,752313942;;
A0A087WZ16;IFFO1;1,737614;1;1,999792;1;Vicino all'ER;Cytoplasm;0,262178;0,752237496;;
Q8N668;COMMD1;1,811051;1;2,073179;1;Vicino all'ER;Cytoplasm;0,262128;0,752084604;;
Q16854;DGUOK;1,249258;0,2970058;1,511374;0,4732433;Vicino all'ER;Mitochondria;0,262116;0,75204791;;
Q99622;C12orf57;1,66116;1;1,923173;1;Vicino all'ER;Cytoplasm;0,262013;0,751732953;;
A6ZKI3;RTL8C;1,937021;1;2,199029;1;Vicino all'ER;Cytoplasm;0,262008;0,751717664;;
P35270;SPR;1,742294;1;2,004117;1;Vicino all'ER;Cytoplasm;0,261823;0,751151964;;
L0R6Q1;SLC35A4;1,056746;0,101798;1,318543;0,1992866;Vicino all'ER;Mitochondria;0,261797;0,75107246;;
A0A590UJ43;CSNK1A1;1,274094;0,3347029;1,535826;0,5181146;Vicino all'ER;ER;0,261732;0,750873701;;
Q8NDH3;NPEPL1;1,57262;0,9049649;1,83432;1;Vicino all'ER;Cytoplasm;0,2617;0,75077585;;
A0A0A0MQR2;RTF2;1,746955;1;2,008585;1;Vicino all'ER;Cytoplasm;0,26163;0,750561801;;
A0A8Q3WKP0;LIMS1;1,714119;1;1,975651;1;Vicino all'ER;Cytoplasm;0,261532;0,750262133;;
P62745;RHOB;1,789313;1;2,050815;1;Vicino all'ER;Cytoplasm;0,261502;0,750170398;;
I3L072;C17orf80;1,073055;0,1134382;1,334533;0,2153776;Vicino all'ER;Mitochondria;0,261478;0,75009701;;
Q8IY31;IFT20;1,393367;0,5550356;1,654803;0,744605;Vicino all'ER;endosome-vesicle;0,261436;0,749968581;;
A0A0A0MR93;MPPE1;1,016544;0,07747225;1,277938;0,1617263;Vicino all'ER;Golgi apparatus;0,261394;0,749840152;;
P25098;GRK2;1,715874;1;1,977244;1;Vicino all'ER;Cytoplasm;0,26137;0,749766763;;
E9PRU1;EFEMP2;1,545951;0,8559538;1,807297;1;Vicino all'ER;Cytoplasm;0,261346;0,749693375;;
O95429;BAG4;1,752863;1;2,014086;1;Vicino all'ER;Cytoplasm;0,261223;0,749317261;;
Q9H788;SH2D4A;1,787046;1;2,048259;1;Vicino all'ER;Cytoplasm;0,261213;0,749286683;;
O95396;MOCS3;1,94416;1;2,20535;1;Vicino all'ER;Cytoplasm;0,26119;0,749216353;;
Q9Y3E0;GOLT1B;1,633342;1;1,894517;1;Vicino all'ER;endosome-vesicle;0,261175;0,749170485;;
Q2M1Z3;ARHGAP31;1,784709;1;2,045819;1;Vicino all'ER;protein-complex;0,26111;0,748971726;;
A6NMQ3;ENSA;1,904822;1;2,165921;1;Vicino all'ER;Cytoplasm;0,261099;0,748938089;;
F5H0F9;ANAPC5;1,718198;1;1,979217;1;Vicino all'ER;Nucleus;0,261019;0,748693462;;
A0A3B3ITW3;ABCD3;0,6165749;0,002612313;0,3673877;0;Vicino al REPLICOMA;Peroxisome;0,2491872;0,712513741;Q3;x
P17066;HSPA6;1,756418;1;2,017401;1;Vicino all'ER;Cytoplasm;0,260983;0,74858338;;
Q8N2K0;ABHD12;0,3436054;0;0,2785414;0;Vicino al REPLICOMA;ER;0,065064;0,149494922;;
Q8IWE5;PLEKHM2;1,792365;1;2,05333;1;Vicino all'ER;Cytoplasm;0,260965;0,748528339;;
Q9UFF9;CNOT8;1,39204;0,5501216;1,652996;0,7398528;Vicino all'ER;ER;0,260956;0,748500819;;
Q9BXV9;GON7;1,74151;1;2,002395;1;Vicino all'ER;Cytoplasm;0,260885;0,748283712;;
O95372;LYPLA2;1,868807;1;2,129692;1;Vicino all'ER;Cytoplasm;0,260885;0,748283712;;
Q8N3D4;EHBP1L1;1,527395;0,8240806;1,788236;0,9741964;Vicino all'ER;Cytoplasm;0,260841;0,748149167;;
Q9GZS1;POLR1E;0,9818734;0,06080506;1,242694;0,1332289;Vicino all'ER;Mitochondria;0,2608206;0,748086788;;
G5E9G4;TTC7A;1,177119;0,2023344;1,437925;0,3502256;Vicino all'ER;ER;0,260806;0,748042143;;
B7Z8V7;NADK2;1,076536;0,1156072;1,337335;0,218993;Vicino all'ER;Mitochondria;0,260799;0,748020738;;
O15116;LSM1;1,983;1;2,243796;1;Vicino all'ER;Cytoplasm;0,260796;0,748011565;;
O94888;UBXN7;1,860661;1;2,121292;1;Vicino all'ER;Cytoplasm;0,260631;0,747507022;;
Q9H6A9;PCNX3;1,938391;1;2,19893;1;Vicino all'ER;Cytoplasm;0,260539;0,747225701;;
B3KN83;LIN52;1,129572;0,1570583;1,390103;0,2822298;Vicino all'ER;Mitochondria;0,260531;0,747201238;;
Q6P0Q8;MAST2;0,8059747;0,01495679;1,06644;0,04858609;Vicino all'ER;ER;0,2604653;0,747000338;;
Q86YB8;ERO1B;0,9261137;0,03948245;1,186573;0,09725165;Vicino all'ER;Mitochondria;0,2604593;0,746981991;;
Q9H3K2;GHITM;0,8760423;0,02693431;1,136415;0,07300914;Vicino all'ER;Mitochondria;0,2603727;0,746717182;;
A0A8Q3WKF1;MRPS27;0,9518811;0,04855682;1,212197;0,1120226;Vicino all'ER;Mitochondria;0,2603159;0,746543497;;
P55268;LAMB2;0,9853901;0,06226299;1,245696;0,1354638;Vicino all'ER;ER;0,2603059;0,746512919;;
P09110;ACAA1;0,5375844;0,001163895;0,3870023;0;Vicino al REPLICOMA;Peroxisome;0,1505821;0,410995372;Q3;x
Q9UBF6;RNF7;1,851371;1;2,111277;1;Vicino all'ER;Cytoplasm;0,259906;0,745290089;;
Q99704;DOK1;1,786765;1;2,04666;1;Vicino all'ER;Cytoplasm;0,259895;0,745256453;;
O75445;USH2A;1,921933;1;2,181823;1;Vicino all'ER;Cytoplasm;0,25989;0,745241164;;
A0A3B3IT47;WDR37;1,73193;1;1,991784;1;Vicino all'ER;Translation;0,259854;0,745131082;;
H7BYV6;BIN3;1,817838;1;2,077689;1;Vicino all'ER;Cytoplasm;0,259851;0,745121908;;
A0A087WY55;VTA1;1,762425;1;2,022194;1;Vicino all'ER;Cytoplasm;0,259769;0,744871166;;
A0A8V8TM84;STAT5B;1,748344;1;2,008001;1;Vicino all'ER;Cytoplasm;0,259657;0,744528688;;
Q6ZVM7;TOM1L2;1,423668;0,6160298;1,683238;0,7962264;Vicino all'ER;Cytoplasm;0,25957;0,744262656;;
Q9H8S9;MOB1A;1,851068;1;2,110553;1;Vicino all'ER;Cytoplasm;0,259485;0,74400274;;
Q9NVT9;ARMC1;1,040131;0,0916691;1,299602;0,1813028;Vicino all'ER;Mitochondria;0,259471;0,74395993;;
A0A6Q8PH91;MACROD1;1,197643;0,2274279;1,457073;0,3801571;Vicino all'ER;Mitochondria;0,25943;0,743834559;;
Q8WYL5;SSH1;1,790967;1;2,050384;1;Vicino all'ER;Cytoplasm;0,259417;0,743794807;;
H3BTU7;KATNB1;2,025022;1;2,284321;1;Vicino all'ER;Cytoplasm;0,259299;0,743433982;;
Q6ZSJ8;C1orf122;1,892404;1;2,151696;1;Vicino all'ER;Cytoplasm;0,259292;0,743412577;;
H6UMI1;GABARAP;1,701249;1;1,960458;1;Vicino all'ER;Cytoplasm;0,259209;0,743158777;;
Q13137;CALCOCO2;1,740009;1;1,999214;1;Vicino all'ER;Cytoplasm;0,259205;0,743146545;;
Q9NS86;LANCL2;1,732929;1;1,992114;1;Vicino all'ER;Cytoplasm;0,259185;0,743085389;;
P47895;ALDH1A3;0,9673945;0,05457941;1,22654;0,1217753;Vicino all'ER;Mitochondria;0,2591455;0,742964604;;
Q93063;EXT2;0,7359429;0,00863313;0,995088;0,03139871;Vicino all'ER;ER;0,2591451;0,742963381;;
Q9NUW8;TDP1;1,72994;1;1,989066;1;Vicino all'ER;Cytoplasm;0,259126;0,742904976;;
A0A286YFF8;MON2;1,972498;1;2,231483;1;Vicino all'ER;Cytoplasm;0,258985;0,742473821;;
O00459;PIK3R2;1,725273;1;1,984228;1;Vicino all'ER;Cytoplasm;0,258955;0,742382086;;
Q9BVL4;SELENOO;1,744331;1;2,003222;1;Vicino all'ER;Cytoplasm;0,258891;0,742186384;;
Q9UJX6;ANAPC2;1,73938;1;1,998257;1;Vicino all'ER;Translation;0,258877;0,742143575;;
O75688;PPM1B;1,88368;1;2,142519;1;Vicino all'ER;Cytoplasm;0,258839;0,742027377;;
Q13614;MTMR2;1,907091;1;2,165833;1;Vicino all'ER;Cytoplasm;0,258742;0,741730767;;
O15069;NACAD;1,682825;1;1,941509;1;Vicino all'ER;Cytoplasm;0,258684;0,741553412;;
Q9NV35;NUDT15;1,856905;1;2,115587;1;Vicino all'ER;Cytoplasm;0,258682;0,741547296;;
F5H4N4;PXMP2;1,189866;0,2176348;1,448511;0,3659884;Vicino all'ER;Golgi apparatus;0,258645;0,741434156;;
Q15599;NHERF2;0,5035636;0,000702006;0,7621413;0,006043307;Vicino all'ER;Mitochondria;0,2585777;0,741228364;;
Q8TEV9;SMCR8;1,47051;0,7119414;1,729034;0,8770134;Vicino all'ER;Nucleus;0,258524;0,741064158;;
J3QQJ0;SAP30BP;0,9673057;0,05456257;1,22581;0,1205479;Vicino all'ER;Mitochondria;0,2585043;0,741003919;;
Q96FJ2;DYNLL2;1,912816;1;2,171301;1;Vicino all'ER;Cytoplasm;0,258485;0,740944902;;
A0A088AWN3;DOCK9;2,021521;1;2,279972;1;Vicino all'ER;endosome-vesicle;0,258451;0,740840936;;
Q9NUJ1;ABHD10;0,9714506;0,05605969;1,22989;0,1242355;Vicino all'ER;Mitochondria;0,2584394;0,740805465;Q3;x
Q8WUW1;BRK1;1,864827;1;2,123167;1;Vicino all'ER;Cytoplasm;0,25834;0,740501516;;
A0A0A6YYG5;STON1-GTF2A1L;1,874268;1;2,132577;1;Vicino all'ER;Cytoplasm;0,258309;0,740406723;;
Q7Z2Z2;EFL1;1,896911;1;2,15521;1;Vicino all'ER;Cytoplasm;0,258299;0,740376145;;
P17252;PRKCA;1,768551;1;2,02679;1;Vicino all'ER;Cytoplasm;0,258239;0,740192674;;
O60711;LPXN;1,749264;1;2,007395;1;Vicino all'ER;Cytoplasm;0,258131;0,739862428;;
P25686;DNAJB2;1,596998;0,9552396;1,855112;1;Vicino all'ER;protein-complex;0,258114;0,739810445;;
Q15366;PCBP2;1,882179;1;2,140255;1;Vicino all'ER;Cytoplasm;0,258076;0,739694247;;
P12074;COX6A1;1,174886;0,1999351;1,432955;0,3451515;Vicino all'ER;Mitochondria;0,258069;0,739672842;;
A0A7I2V4L6;YKT6;1,754701;1;2,012704;1;Vicino all'ER;Cytoplasm;0,258003;0,739471025;;
Q5T5Y3;CAMSAP1;1,949048;1;2,207013;1;Vicino all'ER;Cytoplasm;0,257965;0,739354827;;
A0A2R8YFH5;SEC23B;2,100786;1;2,358674;1;Vicino all'ER;endosome-vesicle;0,257888;0,739119373;;
Q9UBL6;CPNE7;1,774668;1;2,032518;1;Vicino all'ER;Cytoplasm;0,25785;0,739003176;;
Q5SNT2;TMEM201;1,155489;0,1807114;1,41331;0,3143106;Vicino all'ER;Mitochondria;0,257821;0,738914498;;
C9J7B5;EIF5A2;1,947823;1;2,205598;1;Vicino all'ER;Cytoplasm;0,257775;0,738773838;;
A0A6Q8PEY3;NDE1;2,000466;1;2,258206;1;Vicino all'ER;protein-complex;0,25774;0,738666813;;
Q9P287;BCCIP;1,817743;1;2,075467;1;Vicino all'ER;Cytoplasm;0,257724;0,738617888;;
Q86TP1;PRUNE1;1,932573;1;2,190262;1;Vicino all'ER;Cytoplasm;0,257689;0,738510864;;
Q96F85;CNRIP1;1,763973;1;2,02161;1;Vicino all'ER;Cytoplasm;0,257637;0,738351856;;
Q15057;ACAP2;1,790343;1;2,04797;1;Vicino all'ER;Cytoplasm;0,257627;0,738321278;Q3;x
Q15126;PMVK;1,820856;1;2,078458;1;Vicino all'ER;Cytoplasm;0,257602;0,738244832;;
Q58FG0;HSP90AA5P;1,823216;1;2,080807;1;Vicino all'ER;Cytoplasm;0,257591;0,738211196;;
O95825;CRYZL1;1,86218;1;2,119714;1;Vicino all'ER;Cytoplasm;0,257534;0,738036899;;
Q8TD16;BICD2;1,770993;1;2,028511;1;Vicino all'ER;Cytoplasm;0,257518;0,737987974;;
Q9C035;TRIM5;1,937321;1;2,194783;1;Vicino all'ER;Cytoplasm;0,257462;0,737816735;;
Q9Y3D6;FIS1;1,499;0,7678774;1,756437;0,9209651;Vicino all'ER;Cytoplasm;0,257437;0,737740289;;
Q92696;RABGGTA;1,794555;1;2,051956;1;Vicino all'ER;Cytoplasm;0,257401;0,737630207;;
Q9BUP3;HTATIP2;0,4516675;0,000368217;0,7090288;0,003915171;Vicino all'ER;ER;0,2573613;0,73750881;;
Q0JRZ9;FCHO2;1,38511;0,5364668;1,642458;0,724391;Vicino all'ER;Cytoplasm;0,257348;0,737468141;;
Q86X27;RALGPS2;1,713251;1;1,970566;1;Vicino all'ER;Cytoplasm;0,257315;0,737367233;;
Q9UL03;INTS6;1,656949;1;1,914195;1;Vicino all'ER;Nucleus;0,257246;0,737156242;;
E9PB61;ALYREF;1,625146;1;1,882387;1;Vicino all'ER;Nucleus;0,257241;0,737140953;;
E9PFK9;RABGEF1;1,812594;1;2,069835;1;Vicino all'ER;Cytoplasm;0,257241;0,737140953;;
A0A087WV25;CEP43;1,920261;1;2,177392;1;Vicino all'ER;Cytoplasm;0,257131;0,73680459;;
P30039;PBLD;1,817642;1;2,074652;1;Vicino all'ER;Cytoplasm;0,25701;0,736434592;;
A0A0A6YYH9;CBWD5;1,858101;1;2,115051;1;Vicino all'ER;Cytoplasm;0,25695;0,736251122;;
Q96H20;SNF8;2,00654;1;2,263478;1;Vicino all'ER;Cytoplasm;0,256938;0,736214428;;
Q96CM8;ACSF2;0,6861281;0,005594937;0,9430128;0,02170422;Vicino all'ER;Mitochondria;0,2568847;0,736051445;Q3;x
P78356;PIP4K2B;2,023013;1;2,279879;1;Vicino all'ER;protein-complex;0,256866;0,735994263;;
P45983;MAPK8;1,992576;1;2,249426;1;Vicino all'ER;Cytoplasm;0,25685;0,735945338;;
A0A2R8Y8E0;BRAF;1,824397;1;2,081236;1;Vicino all'ER;Cytoplasm;0,256839;0,735911702;;
Q9Y478;PRKAB1;1,827289;1;2,084118;1;Vicino all'ER;Cytoplasm;0,256829;0,735881124;;
Q03013;GSTM4;1,862571;1;2,119389;1;Vicino all'ER;Cytoplasm;0,256818;0,735847487;;
Q8TE77;SSH3;1,921682;1;2,178483;1;Vicino all'ER;Cytoplasm;0,256801;0,735795504;;
Q9NWM3;CUEDC1;1,624853;1;1,881639;1;Vicino all'ER;Cytoplasm;0,256786;0,735749636;;
Q9UIJ7;AK3;0,8085335;0,01530469;1,065312;0,04836;Vicino all'ER;Mitochondria;0,2567785;0,735726703;Q2;x
A0A087WWI6;DCAF7;1,900706;1;2,157468;1;Vicino all'ER;Cytoplasm;0,256762;0,735676248;;
E9PM17;PAK1;1,877183;1;2,133923;1;Vicino all'ER;Cytoplasm;0,25674;0,735608976;;
